publication, user, type, topic, publication_description, quality, num_likes, num_comments, num_share, date, users_tagged
35,449,Image,Animals,Dog raising her dogs,0.34669088333009535,4,2,1,2,3
36,389,Video,Drink Brand,Red bull event,0.48683598431305186,4,1,1,3,4
37,265,Video,Animals,Brown cat jumping,0.17481523706826552,0,0,0,3,6
38,930,Image,Food,Goulash in Hungary,0.0604561270246029,0,0,0,3,6
39,129,Video,Music Artist,Pink Floyd doing a talk,0.9252782452695832,40,14,10,3,1
40,451,Image,Drink Brand,Green Fanta on the supermarket,0.2771714442149964,1,1,0,3,3
41,574,Text,Drink Brand,Kid drinking Coca-Cola,0.020500356597283997,0,0,0,3,7
42,209,Text,Travels,Red umbrella on the Moai on Easter Island,0.6015883980047053,3,0,0,3,2
43,536,Video,Sports,Visitors watching the Camp Nou,0.8825078819908937,28,16,13,3,5
44,815,Image,TV show,Almodovar on the Oscars gala,0.7916169676660492,12,7,6,3,8
45,588,Image,TV show,Tv comedy,0.9222603191336805,16,5,4,3,6
46,756,Video,TV show,Black Batman costume,0.30951836877710437,1,0,0,3,4
47,831,Text,Food,Dad cooking rice,0.7201870726811082,8,4,4,4,9
48,435,Video,Music Artist,AC/DC playing the guitar,0.9551266319491621,7,4,4,4,3
49,56,Image,Animals,Elephant walking,0.03979170349478378,0,0,0,4,5
50,767,Video,Sports,Cat playing football,0.21952484501925862,3,3,2,4,7
51,324,Image,Drink Brand,Kid drinking Coca-Cola,0.4835567368659881,8,3,2,4,2
52,717,Video,News and present,The first malaria vaccine,0.059867068653409294,0,0,0,4,8
53,531,Image,Drink Brand,Heineken advertisement,0.5416232962887048,12,4,3,4,8
54,970,Image,Music Artist,Michael Jackson dancing,0.22836676125441924,0,0,0,4,1
55,8,Image,TV show,Arcane breaking rankings,0.45720603072115507,7,4,3,4,7
56,896,Video,Sports,Kid watching champions league on mobile phone,0.7122006296375849,8,3,2,4,6
57,560,Video,Music Artist,Family singing,0.2257756493603763,1,1,1,4,0
58,788,Image,TV show,Family going to the cinema,0.3136867926919348,1,0,0,4,7
59,358,Image,Sports,Kid playing tennis,0.35258160583428255,2,2,0,4,7
60,176,Text,TV show,Tv comedy,0.42751870759814337,9,3,0,4,1
61,126,Image,TV show,The Great British Baking Show,0.5971657398876619,21,7,4,4,7
62,808,Image,Music Artist,Boy and girl dancing,0.11131086178641836,0,0,0,4,3
63,550,Video,Computer games,League of legends game,0.4469224734334275,1,0,0,5,10
64,33,Image,TV show,Almodovar on the Oscars gala,0.23321756812327077,1,0,0,5,6
65,933,Video,Food,Cheese fondue in Switzerland,0.4545743672753171,2,1,1,5,6
66,667,Text,Food,Oven cleaning,0.4372629373675365,2,0,0,5,4
67,278,Image,TV show,Family going to the cinema,0.3700194220024039,2,1,0,5,2
68,808,Image,Sports,Kid playing tennis,0.304682749797733,1,0,0,5,7
69,915,Video,Sports,Tokio Olympic games,0.8006036955275658,6,2,2,5,9
70,663,Text,Music Artist,Rap battle on the street,0.7130115796469881,3,1,1,5,3
71,708,Video,Music Artist,Viñarock tickets,0.8949748571061374,4,2,2,5,6
72,567,Image,Animals,Dog raising her dogs,0.9973153113354842,30,13,7,5,5
73,630,Image,Music Artist,1M of assistants in a concert,0.6832158390660765,14,5,4,5,3
74,269,Video,TV show,The Great British Baking Show,0.7040901613381059,6,3,2,5,4
75,464,Image,TV show,Almodovar on the Oscars gala,0.23177558858864644,1,0,0,5,6
76,65,Image,Sports,Family running on the beach,0.06523147938319507,0,0,0,5,0
77,237,Video,Food,Chinese Peking duck,0.8201870670147662,6,2,1,6,8
78,301,Video,TV show,Black Batman costume,0.9560200948630082,27,10,5,6,4
79,115,Image,TV show,Watching the TV having dinner,0.31120526304773166,1,1,1,6,2
80,62,Image,Sports,Visitors watching the Camp Nou,0.6813961792912571,39,14,7,6,7
81,505,Video,Sports,Visitors watching the Camp Nou,0.34264764460245256,0,0,0,6,9
82,809,Image,Sports,Visitors watching the Camp Nou,0.4329155143788891,3,0,0,6,6
83,300,Video,Computer games,Play store menu,0.35235568019194086,5,0,0,6,9
84,694,Video,Food,Italian pizza with cheese,0.3170317328831954,1,0,0,6,0
85,584,Text,Music Artist,Boy and girl dancing,0.9572739577823235,28,8,6,6,10
86,80,Image,Computer games,Ibai Llanos streaming,0.3367118602857231,4,2,1,6,4
87,276,Image,TV show,Dog watching the TV,0.4866544764854308,3,0,0,6,9
88,187,Text,Animals,Dog with glasses and smiling,0.9142449487624761,45,19,15,6,9
89,165,Text,TV show,Black Batman costume,0.7412420515223608,13,4,4,6,5
90,609,Image,Animals,Human touching a parrot,0.6930155124258517,16,6,3,6,1
91,315,Video,Music Artist,Driving a car with music,0.861736726469232,16,8,3,6,8
92,481,Image,Computer games,Red Nintendo DS,0.38917839434819157,2,0,0,6,10
93,806,Image,Computer games,Auronplay playing Minecraft,0.5993133535857565,5,2,0,6,3
94,525,Video,Music Artist,Michael Jackson dancing,0.39298610626525077,1,0,0,6,4
95,752,Text,Sports,Lakers vs Miami match,0.9007600586362918,14,5,4,6,9
96,480,Image,Music Artist,Elvis Presley show,0.5012893685831848,9,1,1,6,1
97,739,Image,News and present,The GameStop short squeeze,0.6274676769511379,5,2,1,6,2
98,384,Video,Food,Food Travels,0.5441351917382242,5,2,2,6,1
99,687,Video,TV show,Kid watching Better Call Saul,0.7094469586520247,15,8,5,7,7
100,409,Video,TV show,Watching the TV having dinner,0.7922025107142694,11,6,5,7,6
101,826,Image,Animals,Book of 100 animals,0.24011888905316425,0,0,0,7,3
102,190,Video,Computer games,Buying on Steam,0.5160659900541305,1,1,1,7,10
103,100,Image,Sports,Lakers vs Miami match,0.12144153783081135,2,0,0,7,4
104,453,Image,Sports,Lakers vs Miami match,0.7781901944154892,20,5,3,7,0
105,995,Video,Sports,Watching football on the TV,0.217369924965921,0,0,0,7,5
106,553,Text,TV show,Breaking bad scene,0.5194600875611456,6,2,1,7,1
107,475,Text,Sports,Visitors watching the Camp Nou,0.34316810490469507,2,1,1,7,5
108,557,Image,Sports,Palau Blaugrana show,0.16540063042751574,1,1,0,7,6
109,473,Text,Music Artist,Pink Floyd doing a talk,0.2581066002546366,0,0,0,7,9
110,911,Image,Sports,Visitors watching the Camp Nou,0.8165842990280405,10,6,3,7,4
111,968,Text,Sports,Family running on the beach,0.22014991021815944,3,0,0,7,2
112,238,Video,Animals,Human playing with his dog,0.04376540170657084,0,0,0,7,7
113,115,Image,Sports,Family running on the beach,0.3105030716716176,1,0,0,7,4
114,8,Text,Sports,Mbappe coming to Madrid,0.9420545824786497,54,19,15,7,6
115,784,Image,Music Artist,Eminem singing on NFL,0.5125562079462074,2,0,0,7,6
116,807,Text,Food,Cheese fondue in Switzerland,0.7653280103634655,8,4,3,7,5
117,251,Text,Drink Brand,Red bull event,0.7047052813023748,18,5,2,7,9
118,169,Image,Sports,Tokio Olympic games,0.021824354788601674,0,0,0,7,3
119,149,Image,Sports,Tokio Olympic games,0.4222990377438032,5,1,0,8,6
120,775,Video,Music Artist,Piano classes academy,0.5384613795519365,10,5,4,8,8
121,95,Image,Computer games,Red Nintendo DS,0.6073803483801709,13,2,2,8,1
122,576,Image,News and present,Tornadoes ravage central U.S.,0.9448468451855897,22,8,6,8,1
123,806,Video,TV show,Breaking bad scene,0.13591425965103365,0,0,0,9,2
124,256,Video,TV show,Almodovar on the Oscars gala,0.6720953994705192,18,7,4,9,2
125,2,Video,Animals,Grey cat jumping,0.40337153343670795,7,2,1,9,2
126,107,Image,Sports,Lakers vs Miami match,0.24702456630603942,2,2,1,9,9
127,595,Image,Animals,Rabbit sleeping,0.9697220620306803,34,8,8,9,5
128,314,Image,Sports,Cat playing football,0.020049631518435862,0,0,0,9,7
129,795,Image,Sports,Kid watching champions league on mobile phone,0.8448441964990943,7,3,2,9,7
130,527,Image,Sports,Kid playing tennis,0.1320932712586792,0,0,0,9,0
131,269,Image,Sports,Kid watching champions league on mobile phone,0.26371798843751804,1,0,0,10,7
132,918,Text,Animals,Human playing with his dog,0.5929569336101944,11,6,4,10,8
133,214,Text,TV show,Arcane breaking rankings,0.8707384665697674,11,2,1,10,8
134,475,Image,Sports,Playing paddle,0.7605328751306535,6,1,1,10,1
135,225,Video,Animals,Cat eating,0.23902902658432923,1,0,0,10,1
136,9,Video,TV show,Breaking bad scene,0.14701584183864402,0,0,0,10,8
137,70,Text,Animals,Humans visiting the zoo,0.31430982532847407,2,0,0,10,2
138,991,Video,Sports,Mbappe coming to Madrid,0.3319296838525483,0,0,0,10,5
139,668,Video,Food,Food Travels,0.07114497570149414,0,0,0,10,7
140,276,Image,TV show,Almodovar on the Oscars gala,0.8239130211205018,19,10,8,10,6
141,635,Image,TV show,Black Batman costume,0.6115104542547609,8,1,1,10,4
142,977,Text,Animals,Cat raising her cats,0.6275471241759522,5,0,0,10,7
143,133,Image,TV show,Watching the TV having dinner,0.3016210185085134,1,1,0,10,0
144,329,Image,Sports,Family running on the beach,0.7037308397139123,15,6,5,10,6
145,619,Image,Drink Brand,Heineken advertisement,0.2234453315378626,1,0,0,10,3
146,855,Image,Travels,Dancing on Machu Picchu,0.5105430985427486,6,3,2,10,6
147,674,Image,TV show,Tv comedy,0.5722397465908352,8,4,4,10,5
148,549,Image,Animals,Cat with glasses and smiling,0.8299455900773824,27,7,6,10,3
149,685,Image,Music Artist,Pink Floyd doing a talk,0.9510353596573837,5,1,0,10,1
150,799,Image,Animals,Cat sleeping in bed,0.12454603861111768,0,0,0,11,4
151,631,Text,Music Artist,Eminem singing on NFL,0.3591611038270036,1,0,0,11,4
152,451,Text,Music Artist,Led Zeppelin singing,0.047471679344530227,0,0,0,11,1
153,100,Text,Animals,Dog raising her dogs,0.5338949976443064,6,3,2,11,9
154,672,Image,Music Artist,Listening queen on the bed,0.3001735756406817,0,0,0,11,8
155,317,Video,Animals,Cat eating,0.7830365997054115,12,5,3,11,6
156,762,Image,News and present,Fight for women,0.18534999046131062,0,0,0,11,7
157,805,Image,Sports,Cat playing football,0.997224851975542,22,9,7,11,4
158,735,Video,Food,Food Travels,0.7604170501588597,7,2,1,11,3
159,333,Image,TV show,Dog watching the TV,0.35649595211518703,4,2,2,11,0
160,576,Image,Sports,Family running on the beach,0.6492690403399228,10,2,1,11,0
161,869,Image,TV show,The Great British Baking Show,0.22788582142008496,1,1,0,11,6
162,293,Image,Computer games,Buying on Steam,0.32339231356184117,7,1,1,11,9
163,904,Image,Sports,Lakers vs Miami match,0.2922615431563901,2,1,1,11,1
164,660,Text,Computer games,Friends playing games on the sofa,0.913555191421847,13,4,2,11,1
165,595,Image,TV show,Dog watching the TV,0.5783013611162814,10,4,3,11,0
166,191,Video,Music Artist,Rap battle on the street,0.7647988467412826,19,12,9,11,8
167,253,Text,Music Artist,Led Zeppelin singing,0.08000169728855022,2,1,1,11,4
168,229,Text,Travels,Kid imitating the Statue of Liberty in the USA,0.6682757467027564,14,4,4,12,1
169,633,Image,Music Artist,Elvis Presley show,0.4879006032109451,5,2,1,12,4
170,91,Text,Sports,Palau Blaugrana show,0.21449278170749742,3,2,2,12,8
171,169,Text,Music Artist,Boy and girl dancing,0.2550925099224689,0,0,0,12,1
172,108,Image,Computer games,Red Nintendo DS,0.902041538051583,14,4,2,12,8
173,509,Text,TV show,Arcane breaking rankings,0.6766056826931653,12,3,2,12,9
174,517,Image,Music Artist,AC/DC playing the guitar,0.8091808484624113,17,4,4,12,6
175,791,Image,Sports,Mbappe coming to Madrid,0.8637161077229721,21,12,10,12,8
176,714,Video,Food,Local food contest,0.8971024530109691,6,0,0,12,4
177,322,Video,Animals,Brown cat jumping,0.43182427511800425,2,1,1,12,1
178,136,Image,Sports,Family running on the beach,0.12760676479404254,1,0,0,12,7
179,765,Image,Sports,Kid playing tennis,0.33016901729706916,0,0,0,12,4
180,444,Video,Computer games,Ibai Llanos streaming,0.6717651029026882,5,3,3,12,1
181,999,Image,TV show,Almodovar on the Oscars gala,0.853039214088348,0,0,0,12,2
182,480,Image,TV show,Almodovar on the Oscars gala,0.6674709696735776,12,7,7,12,3
183,278,Image,Computer games,Friends playing games on the sofa,0.1803180039433523,0,0,0,12,6
184,67,Image,Sports,Lakers vs Miami match,0.22317781899268696,5,2,2,12,2
185,630,Video,Animals,Sad dog playing with a ball,0.7123358882680382,13,3,3,12,2
186,970,Image,Computer games,Play store menu,0.9334327910801614,12,3,2,12,6
187,561,Video,Sports,Visitors watching the Camp Nou,0.5988345004211701,6,3,2,13,8
188,976,Image,TV show,Breaking bad scene,0.589006258039105,6,2,2,13,2
189,876,Text,Sports,Palau Blaugrana show,0.3594071433375945,1,1,1,13,6
190,333,Image,Animals,Human playing with his dog,0.9425977164201248,13,3,2,13,5
191,453,Image,Music Artist,Viñarock tickets,0.9732572674716804,34,12,9,13,1
192,582,Text,Animals,Human touching a parrot,0.6239221761060256,8,1,0,13,8
193,610,Video,Animals,Human touching a parrot,0.9500370651124039,30,12,10,13,0
194,229,Text,Animals,Family in the safari,0.07012249711762408,1,1,0,13,6
195,557,Video,Sports,Family running on the beach,0.2210241502343393,2,0,0,13,1
196,944,Image,Music Artist,Michael Jackson dancing,0.08640490230723841,0,0,0,13,6
197,240,Image,Music Artist,Pink Floyd doing a talk,0.2693029606555054,1,0,0,13,9
198,943,Text,Computer games,Buying on Steam,0.9110158733969252,10,3,2,13,3
199,874,Text,TV show,Dog watching the TV,0.48540580760989593,1,0,0,13,1
200,338,Image,Music Artist,Boy and girl dancing,0.3223324988201729,2,0,0,13,8
201,377,Image,Food,Italian pizza with cheese,0.211366955088371,0,0,0,13,8
202,587,Image,Animals,Cat raising her cats,0.7813137863686413,11,4,3,13,8
203,451,Video,Sports,Kid watching champions league on mobile phone,0.734677446716646,5,2,2,13,6
204,937,Video,News and present,Putin negates Ukraine peace agreement,0.7974560938071706,20,6,5,13,1
205,642,Image,Travels,Climbing a mountain,0.8328561669364622,17,4,4,13,5
206,72,Video,Music Artist,AC/DC playing the guitar,0.13431526556914508,0,0,0,13,7
207,594,Image,Travels,Swimming on the beach,0.542324685297161,4,1,0,14,5
208,728,Image,Music Artist,Family singing,0.3043637628548609,2,0,0,14,2
209,367,Image,Food,Family eating lasagne,0.038226446590002516,2,1,1,14,7
210,187,Image,TV show,Arcane breaking rankings,0.8583786271593078,31,10,8,14,3
211,749,Image,Travels,Sydney Opera House performance,0.01701308247779687,0,0,0,14,1
212,547,Image,Animals,Giraffe smiling,0.26779230560395206,2,0,0,14,1
213,505,Image,Animals,Giraffe smiling,0.47632202391559353,9,5,2,14,5
214,688,Image,Music Artist,AC/DC playing the guitar,0.7149340873623315,13,4,1,14,1
215,650,Image,Animals,Family in the safari,0.8504069176535042,18,7,4,14,4
216,66,Image,News and present,The billionaire space race,0.38181770792947844,5,0,0,14,5
217,41,Video,Music Artist,Piano classes academy,0.5687588566934136,8,4,3,15,4
218,770,Text,Animals,Cat sleeping in bed,0.16659205839251323,1,0,0,15,8
219,961,Image,TV show,Breaking bad scene,0.728533811913777,4,1,0,15,2
220,532,Video,Music Artist,Led Zeppelin singing,0.7995213205444375,24,7,5,15,6
221,630,Video,Food,Chorizo a la sidra,0.7263207000750129,12,4,4,15,0
222,641,Image,TV show,Breaking bad scene,0.7745265493461281,33,13,11,15,3
223,106,Image,News and present,The rise of NFTs,0.9001017799203175,21,5,5,15,6
224,168,Video,Music Artist,Eminem singing on NFL,0.10468353321017021,0,0,0,15,9
225,245,Text,TV show,Arcane breaking rankings,0.8107549209978288,7,1,0,15,5
226,181,Image,TV show,The Great British Baking Show,0.7340981337131124,17,6,4,15,7
227,614,Video,TV show,Breaking bad scene,0.8529030869725266,12,3,1,15,3
228,319,Image,Animals,Book of 100 animals,0.6048459643037334,3,2,1,15,1
229,429,Video,Sports,Mbappe coming to Madrid,0.6000403446592445,4,2,1,15,6
230,964,Image,Animals,Rabbit sleeping,0.9594775365052081,10,5,2,16,2
231,127,Image,Music Artist,Boy and girl dancing,0.2607043902807661,1,0,0,16,3
232,24,Text,TV show,The Great British Baking Show,0.4492516265344242,6,3,2,16,4
233,516,Image,Food,Chorizo a la sidra,0.9134545557258265,41,17,13,16,6
234,422,Image,Sports,Family running on the beach,0.8713197847944206,21,9,6,16,1
235,312,Text,Sports,Palau Blaugrana show,0.46753084440315307,4,0,0,17,6
236,446,Text,TV show,Kid watching Better Call Saul,0.7401563663983352,12,5,5,17,0
237,307,Video,Music Artist,Eminem singing on NFL,0.17272951476876441,0,0,0,17,3
238,77,Text,TV show,Tv comedy,0.1641200763037155,0,0,0,17,6
239,410,Video,TV show,Tv comedy,0.553571179654616,7,3,2,17,2
240,67,Video,Animals,Turtle eating,0.8939404589467762,24,7,7,17,9
241,682,Text,TV show,Tv comedy,0.9434362084034436,6,0,0,17,2
242,411,Text,Sports,Family running on the beach,0.4124821021324405,4,2,1,17,10
243,30,Text,TV show,Kid watching Better Call Saul,0.1342880622823075,1,0,0,17,10
244,528,Text,Sports,Playing paddle,0.7455485818835516,11,2,2,17,9
245,26,Image,Food,Egyptian Cuisine program,0.41353630176862555,4,2,1,17,2
246,186,Image,Music Artist,Viñarock tickets,0.4886091649042481,4,3,2,17,4
247,893,Video,Animals,Dog with glasses and smiling,0.20681091151982423,1,0,0,17,7
248,935,Image,TV show,Arcane breaking rankings,0.8198068826444534,2,0,0,17,1
249,666,Video,Animals,Dog sleeping in bed,0.9030792563002042,17,5,4,17,5
250,737,Image,Food,Cheese fondue in Switzerland,0.2201212459991001,0,0,0,17,7
251,160,Text,Animals,Cat with glasses and smiling,0.7135802108791537,18,7,3,17,2
252,808,Text,TV show,Dog watching the TV,0.12245044059058263,0,0,0,17,3
253,962,Image,Music Artist,Michael Jackson dancing,0.7433617650009517,3,0,0,17,3
254,231,Text,Music Artist,Driving a car with music,0.9681607189274369,12,6,3,18,7
255,890,Video,Sports,Lakers vs Miami match,0.7647963691759276,4,1,1,18,7
256,331,Video,TV show,Kid watching Better Call Saul,0.8906002361307765,19,9,4,18,5
257,323,Image,Computer games,Tutorial of Valorant,0.27583684055933744,1,0,0,18,0
258,781,Text,TV show,Family going to the cinema,0.8425730091335862,14,6,5,18,3
259,262,Image,Animals,Human playing with his dog,0.7296756101151645,21,11,7,19,8
260,27,Image,Animals,Elephant walking,0.5446052934236691,10,4,4,19,3
261,640,Image,Sports,Cat playing football,0.40747362006774646,3,1,0,19,7
262,964,Image,Food,McDonald’s burger and sauces,0.5666316545626273,5,2,1,19,5
263,630,Text,TV show,Dog watching the TV,0.534856765851102,5,1,1,19,5
264,6,Image,Music Artist,Rap battle on the street,0.9570628104793484,26,9,7,19,5
265,442,Image,Food,McDonald’s burger and sauces,0.46737697866269134,5,2,1,19,8
266,565,Image,Food,Workers picking coffee,0.7910979162562826,17,6,3,19,10
267,63,Text,Sports,Tokio Olympic games,0.8855778098946109,36,12,7,19,3
268,812,Image,TV show,The Great British Baking Show,0.5876150276454964,16,1,0,19,7
269,568,Video,Music Artist,Listening queen on the bed,0.07115615727494595,1,0,0,19,9
270,313,Image,TV show,Black Batman costume,0.03264837463134507,0,0,0,19,6
271,106,Image,Music Artist,Elvis Presley show,0.14655600356516663,2,0,0,19,6
272,493,Text,Food,Food Travels,0.32443027206533503,2,1,1,19,7
273,754,Image,TV show,Almodovar on the Oscars gala,0.28146952104536616,2,2,2,19,6
274,664,Text,Sports,Tokio Olympic games,0.015934997939527906,0,0,0,19,0
275,864,Video,Music Artist,Michael Jackson dancing,0.3656691205292196,2,1,1,19,7
276,51,Image,Computer games,League of legends game,0.869605105284573,27,13,12,19,6
277,631,Image,Sports,Lakers vs Miami match,0.5223085728333652,10,5,5,19,5
278,833,Video,TV show,The Great British Baking Show,0.007673995743813222,1,0,0,19,2
279,181,Text,Computer games,Buying on Steam,0.7516168850382093,11,5,3,19,5
280,61,Video,Computer games,Auronplay playing Minecraft,0.9576418215724026,18,6,5,19,9
281,519,Image,TV show,The Great British Baking Show,0.18750719919645997,3,1,1,20,7
282,326,Image,Travels,Climbing a mountain,0.7708234464936816,13,4,3,20,1
283,94,Image,TV show,Breaking bad scene,0.8144694517099834,26,9,7,20,6
284,731,Image,Music Artist,Pink Floyd doing a talk,0.7281809435553684,4,1,0,20,2
285,806,Image,TV show,Kid watching Better Call Saul,0.379530721040903,0,0,0,20,5
286,113,Image,Music Artist,Michael Jackson dancing,0.9401168718118452,20,6,3,20,8
287,576,Video,Sports,Kid watching champions league on mobile phone,0.592552354278546,3,0,0,20,7
288,391,Video,TV show,Watching the TV having dinner,0.5601599826644725,6,0,0,20,5
289,257,Image,Animals,Turtle eating,0.23540799711866822,1,1,1,20,5
290,235,Text,Food,Italian pizza with cheese,0.321330072701022,2,0,0,20,0
291,39,Text,Animals,Family in the safari,0.42907868190494447,5,2,2,20,5
292,787,Image,Sports,Mbappe coming to Madrid,0.3846276435386792,2,2,1,20,6
293,157,Video,Sports,Palau Blaugrana show,0.35226240044730883,4,1,0,20,1
294,391,Image,Sports,Tokio Olympic games,0.802305473680571,16,4,4,21,7
295,541,Image,Sports,Playing paddle,0.6874005592026543,14,6,3,21,7
296,800,Image,Computer games,Computer games shop,0.4044825181266042,5,1,0,21,4
297,310,Image,Drink Brand,Drinking alcohol,0.8042332530117912,9,3,3,21,3
298,522,Image,Sports,Kid watching champions league on mobile phone,0.4448931540812564,3,0,0,21,2
299,620,Text,Sports,Watching football on the TV,0.7582771365714012,2,0,0,21,7
300,88,Text,Food,Chinese Peking duck,0.45322447775011443,3,1,0,21,0
301,670,Video,Sports,Tokio Olympic games,0.7537085688332622,9,2,2,21,3
302,30,Image,Food,Turkish doner kebab,0.6602525692546943,8,3,3,21,9
303,934,Video,Sports,Kid playing tennis,0.18510557357351387,0,0,0,21,5
304,818,Image,TV show,Tv comedy,0.9454612429977322,17,5,4,21,7
305,681,Image,Sports,Palau Blaugrana show,0.1142256731497332,1,0,0,22,6
306,30,Image,Sports,Watching football on the TV,0.5316966376798726,3,0,0,22,4
307,687,Image,Food,Workers picking coffee,0.0885234248305743,0,0,0,22,8
308,986,Text,Music Artist,Elvis Presley show,0.8696632126623912,5,3,3,22,0
309,576,Image,News and present,The US Capitol riots,0.3157776782243883,1,0,0,22,3
310,68,Video,Music Artist,Viñarock tickets,0.778415885151485,15,4,3,22,2
311,447,Image,Food,Oven cleaning,0.5809712135550406,3,1,1,22,2
312,137,Video,Computer games,Red Nintendo DS,0.9096330558551133,30,11,9,22,8
313,418,Text,Sports,Watching football on the TV,0.979317888382774,17,5,4,22,8
314,411,Image,TV show,Arcane breaking rankings,0.038443919682976224,1,0,0,22,6
315,282,Image,Sports,Watching football on the TV,0.953199072565902,49,16,11,22,10
316,354,Image,TV show,Tv comedy,0.6562900418059427,7,1,0,22,4
317,377,Image,TV show,Dog watching the TV,0.5121380650802155,10,3,2,22,6
318,531,Text,TV show,Arcane breaking rankings,0.894902745231711,34,13,6,22,2
319,37,Video,Sports,Playing paddle,0.9634725732981473,25,5,5,22,4
320,826,Image,Music Artist,Viñarock tickets,0.8227608490080571,4,1,1,22,3
321,533,Text,TV show,Black Batman costume,0.33283165949380566,2,0,0,22,3
322,702,Text,Sports,Mbappe coming to Madrid,0.23659967853736208,1,0,0,22,4
323,629,Image,Animals,Sad dog playing with a ball,0.5862836854244172,9,0,0,22,1
324,516,Image,Computer games,Friends playing games on the sofa,0.6777088875883929,21,6,5,23,4
325,179,Image,Animals,Human playing with his dog,0.061166824580658474,1,0,0,23,7
326,432,Image,TV show,Black Batman costume,0.06653047997262462,0,0,0,23,4
327,766,Video,Travels,Sydney Opera House performance,0.4638415913841454,5,2,1,23,7
328,874,Video,Sports,Cat playing football,0.4654879353974807,1,0,0,23,6
329,224,Video,TV show,Arcane breaking rankings,0.3580500241737935,0,0,0,23,2
330,12,Text,Music Artist,Piano classes academy,0.932352803742509,38,13,11,23,5
331,951,Image,TV show,Dog watching the TV,0.9867351800592016,16,7,5,23,5
332,354,Text,Food,Egyptian Cuisine program,0.80473302318997,8,3,3,23,6
333,641,Video,TV show,Family going to the cinema,0.9692834954919541,42,12,11,23,7
334,663,Text,Animals,Happy zebra playing on the floor,0.2900276310007647,1,0,0,23,7
335,481,Video,TV show,Tv comedy,0.15578192686670012,0,0,0,23,2
336,704,Image,TV show,Kid watching Better Call Saul,0.562133816285065,7,3,2,23,8
337,372,Image,TV show,Almodovar on the Oscars gala,0.39152150058710067,1,0,0,23,7
338,931,Video,Computer games,Red Nintendo DS,0.8225989421271842,10,2,1,23,2
339,467,Video,TV show,Arcane breaking rankings,0.8370612810839602,5,0,0,23,3
340,668,Text,TV show,Black Batman costume,0.4196216533585254,3,1,0,23,4
341,241,Image,Sports,Mbappe coming to Madrid,0.04445499049703838,0,0,0,23,8
342,202,Image,Animals,Humans visiting the zoo,0.10772745562615693,0,0,0,23,7
343,848,Image,Sports,Lakers vs Miami match,0.06844603967861607,1,0,0,23,2
344,271,Text,Sports,Kid watching champions league on mobile phone,0.7017079212024925,10,6,3,23,4
